order_id,customer_id,order_date,sku,product_category,quantity,unit_price,status,shipped_date
O-5000,C-27,03-Apr-2026,SKU-1076,Beauty,2,59.99,payment,
O-5001,C-180,05/30/2026,SKU-1005,Beauty,1,59.99,shipped,2026-05-31
O-5002,C-75,06/01/2026,SKU-1029,Apparel,2,59.99,shipped,2026-06-06
O-5003,C-96,06/14/2026,SKU-1052,Home,1,59.99,shipped,2026-06-17
O-5004,C-96,2026-06-19,SKU-1060,Apparel,1,59.99,payment,
O-5005,C-67,04/29/2026,SKU-1050,Electronics,2,59.99,shipped,2026-05-03
O-5006,C-216,05/01/2026,SKU-1047,Beauty,3,39.99,shipped,2026-05-02
O-5007,C-165,07-Jun-2026,SKU-1003,Electronics,2,12.99,shipped,2026-06-12
O-5008,C-33,06-Jun-2026,SKU-1024,Electronics,2,39.99,shipped,2026-06-09
O-5009,C-102,2026-05-29,SKU-1040,Home,2,24.99,shipped,2026-05-31
O-5010,C-195,2026-05-29,sku-1010,Home,-3,89.99,shipped,2026-06-02
O-5011,C-191,23-Apr-2026,SKU-1015,Home,4,59.99,shipped,2026-04-27
O-5012,C-120,21-Jun-2026,SKU-1011,Electronics,3,59.99,shipped,2026-06-23
O-5013,C-71,2026-05-27,SKU-1076,Home,1,59.99,payment,
O-5014,C-205,2026-06-26,SKU-1043,Beauty,3,89.99,shipped,2026-06-27
O-5015,C-54,2026-05-10,SKU-1026,Home,3,89.99,shipped,2026-05-15
O-5016,C-168,02-Apr-2026,SKU-1076,Apparel,3,39.99,shipped,2026-04-04
O-5017,C-129,05/28/2026,SKU-1050,Home,2,39.99,shipped,2026-05-31
O-5018,C-74,2026-05-22,SKU-1022,Home,-1,59.99,shipped,2026-05-23
O-5019,C-219,25-May-2026,sku-1010,Home,1,12.99,shipped,2026-05-28
O-5020,C-16,2026-06-18,SKU-1075,Beauty,4,12.99,shipped,2026-06-22
O-5021,C-183,21-Apr-2026,SKU-1047,Electronics,3,12.99,shipped,2026-04-25
O-5022,C-218,04/27/2026,SKU-1012,Apparel,3,89.99,shipped,2026-04-28
O-5023,C-102,04/11/2026,sku-1002,Apparel,4,39.99,shipped,2026-04-13
O-5024,C-180,2026-04-30,SKU-1016,Beauty,4,39.99,shipped,2026-05-05
O-5025,C-32,2026-04-16,SKU-1031,Electronics,2,89.99,shipped,2026-04-18
O-5026,C-1,2026-04-26,SKU-1073,Apparel,1,39.99,shipped,2026-04-28
O-5027,C-33,07-Jun-2026,sku-1068,Apparel,4,89.99,shipped,2026-06-08
O-5028,C-162,04-Apr-2026,SKU-1021,Electronics,1,24.99,shipped,2026-04-07
O-5029,C-49,04-Jun-2026,SKU-1026,Electronics,2,24.99,shipped,2026-06-07
O-5030,C-14,01-May-2026,sku-1051,Home,1,59.99,checkout_started,
O-5031,C-209,2026-05-11,sku-1079,Beauty,4,89.99,shipped,2026-05-13
O-5032,C-64,05/30/2026,SKU-1069,Electronics,4,39.99,payment,
O-5033,C-136,18-May-2026,SKU-1030,Home,1,24.99,cart_created,
O-5034,C-29,05/21/2026,SKU-1033,Electronics,1,12.99,shipped,2026-05-23
O-5035,C-131,06-Apr-2026,SKU-1025,Beauty,2,59.99,shipped,2026-04-07
O-5036,C-104,2026-05-13,SKU-1051,Apparel,4,24.99,shipped,2026-05-16
O-5037,C-47,2026-06-01,SKU-1017,Apparel,1,39.99,checkout_started,
O-5038,C-13,2026-04-17,sku-1041,Electronics,2,24.99,shipped,2026-04-19
O-5039,C-165,2026-06-12,SKU-1027,Apparel,4,12.99,checkout_started,
O-5040,C-166,2026-06-16,SKU-1009,Apparel,4,89.99,checkout_started,
O-5041,C-177,2026-05-13,SKU-1035,Beauty,4,12.99,shipped,2026-05-18
O-5042,C-88,27-Apr-2026,SKU-1064,Beauty,4,39.99,shipped,2026-05-02
O-5043,C-127,2026-06-28,SKU-1037,Home,1,59.99,checkout_started,
O-5044,C-170,06/23/2026,SKU-1032,Home,4,24.99,shipped,2026-06-28
O-5045,C-213,2026-05-30,SKU-1036,Home,2,12.99,shipped,2026-06-02
O-5046,C-86,06/05/2026,sku-1030,Beauty,4,59.99,checkout_started,
O-5047,C-12,2026-04-17,SKU-1042,Electronics,3,89.99,shipped,2026-04-22
O-5048,C-150,06/28/2026,SKU-1067,Beauty,1,39.99,shipped,2026-07-03
O-5049,C-2,2026-04-22,SKU-1006,Electronics,2,59.99,shipped,2026-04-25
O-5050,C-36,2026-06-16,SKU-1074,Home,3,59.99,shipped,2026-06-20
O-5051,C-42,04/07/2026,SKU-1011,Beauty,4,39.99,shipped,2026-04-12
O-5052,C-140,06-May-2026,SKU-1076,Beauty,4,59.99,checkout_started,
O-5053,C-49,2026-05-08,SKU-1048,Beauty,1,12.99,shipped,2026-05-09
O-5054,C-95,2026-04-03,SKU-1022,Electronics,4,39.99,shipped,2026-04-06
O-5055,C-211,26-May-2026,SKU-1013,Electronics,1,89.99,shipped,2026-05-27
O-5056,C-22,05/01/2026,sku-1017,Apparel,1,89.99,checkout_started,
