employee_id,month,overtime_hours
E2000,2026-06,1.4
E2000,2026-07,12.1
E2001,2026-05,13.8
E2001,2026-07,3.1
E2002,2026-05,8.8
E2002,2026-06,6.0
E2002,2026-07,3.3
E2003,2026-05,6.7
E2004,2026-05,27.4
E2004,2026-06,18.9
E2004,2026-07,16.0
E2005,2026-05,1.3
E2005,2026-06,9.8
E2005,2026-07,4.5
E2006,2026-05,7.4
E2006,2026-07,3.6
E2007,2026-06,4.8
E2007,2026-07,6.1
E2008,2026-05,2.0
E2008,2026-07,11.3
E2009,2026-06,16.1
E2009,2026-07,16.4
E2010,2026-06,1.6
E2010,2026-07,11.7
E2011,2026-05,8.9
E2011,2026-06,6.0
E2011,2026-07,4.0
E2012,2026-06,9.1
E2012,2026-07,8.7
E2013,2026-05,1.6
E2013,2026-06,14.2
E2013,2026-07,8.6
E2014,2026-05,7.0
E2014,2026-06,3.2
E2014,2026-07,8.4
E2015,2026-05,0.7
E2015,2026-06,5.3
E2015,2026-07,2.8
E2016,2026-06,7.7
E2017,2026-05,2.3
E2017,2026-06,7.9
E2018,2026-06,5.8
E2018,2026-07,3.2
E2019,2026-05,10.7
E2019,2026-06,5.3
E2019,2026-07,12.8
E2020,2026-05,0.8
E2020,2026-06,12.4
E2020,2026-07,28.6
E2021,2026-05,9.4
E2021,2026-06,7.2
E2021,2026-07,8.6
E2022,2026-05,12.5
E2022,2026-06,3.1
E2022,2026-07,16.9
E2023,2026-05,7.4
E2023,2026-06,5.0
E2024,2026-05,1.4
E2024,2026-06,14.5
E2024,2026-07,1.2
E2025,2026-05,5.8
E2025,2026-07,2.7
E2026,2026-05,8.9
E2027,2026-05,5.2
E2027,2026-07,3.0
E2028,2026-06,3.4
E2028,2026-07,5.9
E2029,2026-05,7.7
E2029,2026-06,8.1
E2029,2026-07,1.6
E2030,2026-05,5.4
E2031,2026-07,23.2
E2032,2026-05,8.0
E2032,2026-07,21.2
E2033,2026-05,1.3
E2033,2026-07,11.8
E2034,2026-06,4.1
E2034,2026-07,3.9
E2035,2026-06,1.2
E2035,2026-07,8.0
E2037,2026-06,4.0
E2038,2026-05,8.2
E2038,2026-06,4.3
E2038,2026-07,2.6
E2039,2026-05,30.4
E2039,2026-06,5.2
E2040,2026-05,10.1
E2041,2026-06,5.1
E2041,2026-07,1.1
E2042,2026-06,5.8
E2042,2026-07,10.2
E2043,2026-05,7.6
E2043,2026-06,1.2
E2043,2026-07,5.1
E2044,2026-05,1.3
E2044,2026-06,8.2
E2044,2026-07,12.0
E2045,2026-06,9.1
E2046,2026-05,10.4
E2046,2026-06,4.7
E2046,2026-07,17.8
E2047,2026-06,5.5
E2048,2026-05,3.4
E2048,2026-06,3.0
E2048,2026-07,5.5
E2049,2026-05,13.7
E2049,2026-06,10.0
E2049,2026-07,6.6
E2050,2026-06,5.6
E2050,2026-07,10.9
E2051,2026-06,14.4
E2051,2026-07,2.9
E2052,2026-05,11.5
E2052,2026-06,9.3
E2052,2026-07,5.7
E2053,2026-05,11.5
E2053,2026-06,0.5
E2053,2026-07,2.7
E2054,2026-05,12.7
E2054,2026-06,4.9
E2054,2026-07,5.2
E2055,2026-05,20.8
E2055,2026-07,10.5
E2056,2026-05,10.5
E2056,2026-06,8.6
E2056,2026-07,4.2
E2057,2026-07,8.1
E2058,2026-05,7.8
E2058,2026-06,7.0
E2058,2026-07,6.3
E2059,2026-05,6.7
E2059,2026-07,2.5
E2060,2026-05,2.1
E2060,2026-06,1.0
E2060,2026-07,13.8
E2061,2026-05,3.2
E2061,2026-06,8.8
E2061,2026-07,6.0
E2062,2026-05,7.9
E2062,2026-07,4.4
E2063,2026-06,8.0
E2064,2026-05,17.2
E2064,2026-07,0.6
E2065,2026-06,6.1
E2066,2026-06,2.4
E2067,2026-06,17.1
E2067,2026-07,22.1
E2068,2026-07,8.7
E2069,2026-05,3.6
E2069,2026-07,12.5
E2070,2026-05,6.7
E2070,2026-06,2.8
E2071,2026-06,11.9
E2071,2026-07,4.1
E2072,2026-05,2.7
E2072,2026-06,0.9
E2072,2026-07,5.6
E2074,2026-07,8.3
E2075,2026-05,3.2
E2075,2026-06,6.9
E2076,2026-05,3.1
E2076,2026-06,8.9
E2077,2026-05,3.9
E2077,2026-07,7.0
E2078,2026-05,8.9
E2078,2026-06,13.2
E2079,2026-05,9.8
E2079,2026-06,5.2
E9900,2026-05,5.8
E9901,2026-07,5.8
E9902,2026-07,7.1
E9903,2026-06,9.3
E9904,2026-07,8.4
