sku,warehouse,stock_qty,unit,reorder_threshold
SKU-1000,WH-Central,329,case,38
SKU-1001,WH-South,192,each,36
SKU-1001,WH-Central,88,case,46
SKU-1002,WH-North,392,each,31
SKU-1002,WH-Central,292,each,32
SKU-1003,WH-Central,383,each,51
SKU-1004,WH-North,381,each,31
SKU-1004,WH-South,327,case,46
SKU-1004,WH-Central,41,each,29
SKU-1005,WH-Central,-2,each,55
SKU-1006,WH-North,299,case,49
SKU-1006,WH-South,61,case,58
SKU-1007,WH-North,160,each,30
SKU-1007,WH-Central,216,case,50
SKU-1008,WH-North,221,each,54
SKU-1008,WH-South,149,case,37
SKU-1008,WH-Central,143,each,51
SKU-1009,WH-North,129,each,34
SKU-1009,WH-South,21,each,45
SKU-1009,WH-Central,186,each,54
SKU-1010,WH-North,115,each,23
SKU-1010,WH-South,153,case,37
SKU-1010,WH-Central,277,case,30
SKU-1011,WH-North,197,each,54
SKU-1012,WH-North,154,each,25
SKU-1013,WH-North,31,case,27
SKU-1013,WH-Central,65,each,44
SKU-1014,WH-North,95,each,36
SKU-1015,WH-North,236,case,48
SKU-1015,WH-South,217,each,44
SKU-1015,WH-Central,42,each,35
SKU-1016,WH-Central,26,each,52
SKU-1017,WH-North,71,each,35
SKU-1018,WH-South,256,each,38
SKU-1018,WH-Central,330,each,43
SKU-1019,WH-South,89,each,49
SKU-1020,WH-Central,345,each,52
SKU-1021,WH-Central,149,each,49
SKU-1022,WH-North,124,case,59
SKU-1022,WH-Central,46,case,50
SKU-1025,WH-North,137,each,53
SKU-1025,WH-South,108,each,43
SKU-1026,WH-South,284,each,22
SKU-1026,WH-Central,260,case,43
SKU-1027,WH-South,388,case,54
SKU-1027,WH-Central,41,case,37
SKU-1028,WH-North,223,each,43
SKU-1028,WH-Central,-3,each,30
SKU-1029,WH-Central,291,each,45
SKU-1030,WH-North,296,each,31
SKU-1030,WH-South,4,each,32
SKU-1030,WH-Central,349,each,50
SKU-1031,WH-North,256,each,25
SKU-1031,WH-South,246,case,58
SKU-1031,WH-Central,330,case,48
SKU-1032,WH-Central,242,each,44
SKU-1033,WH-North,110,each,35
SKU-1033,WH-Central,303,each,38
SKU-1034,WH-South,396,case,58
SKU-1034,WH-Central,58,each,59
SKU-1035,WH-North,167,each,52
SKU-1035,WH-South,-6,case,23
SKU-1036,WH-North,6,case,57
SKU-1036,WH-South,-3,case,52
SKU-1036,WH-Central,331,each,21
SKU-1037,WH-Central,380,each,58
SKU-1038,WH-South,386,each,23
SKU-1038,WH-Central,159,each,59
SKU-1039,WH-North,392,each,23
SKU-1039,WH-South,341,each,35
SKU-1040,WH-North,398,each,33
SKU-1040,WH-South,256,each,42
SKU-1040,WH-Central,266,each,33
SKU-1041,WH-Central,39,each,23
SKU-1042,WH-Central,397,each,28
SKU-1043,WH-North,282,case,46
SKU-1043,WH-South,275,each,58
SKU-1044,WH-North,200,each,49
SKU-1044,WH-South,264,case,47
SKU-1044,WH-Central,35,case,52
SKU-1045,WH-Central,334,each,34
SKU-1046,WH-South,386,each,20
SKU-1046,WH-Central,129,case,40
SKU-1047,WH-South,223,each,49
SKU-1048,WH-South,170,each,37
SKU-1048,WH-Central,172,each,58
SKU-1049,WH-North,264,each,54
SKU-1049,WH-Central,329,case,29
SKU-1050,WH-North,265,case,49
SKU-1050,WH-Central,2,each,51
SKU-1051,WH-North,235,each,45
SKU-1051,WH-South,82,case,27
SKU-1051,WH-Central,20,each,54
SKU-1052,WH-North,288,each,28
SKU-1052,WH-South,0,case,38
SKU-1052,WH-Central,96,each,20
SKU-1053,WH-Central,241,each,20
SKU-1054,WH-South,119,each,24
SKU-1055,WH-North,56,case,27
SKU-1055,WH-South,126,case,36
SKU-1056,WH-North,101,each,36
SKU-1056,WH-South,386,each,26
SKU-1057,WH-North,127,each,58
SKU-1057,WH-South,315,each,53
SKU-1058,WH-North,239,each,25
SKU-1058,WH-Central,357,each,29
SKU-1059,WH-North,326,each,53
SKU-1059,WH-South,238,case,42
SKU-1060,WH-Central,390,each,20
SKU-1061,WH-North,272,each,45
SKU-1061,WH-South,246,each,47
SKU-1061,WH-Central,135,each,51
SKU-1062,WH-South,84,each,32
SKU-1062,WH-Central,380,case,31
SKU-1063,WH-South,86,each,22
SKU-1064,WH-Central,42,case,34
SKU-1065,WH-South,219,each,36
SKU-1065,WH-Central,86,case,39
SKU-1066,WH-North,297,each,20
SKU-1066,WH-South,133,each,26
SKU-1066,WH-Central,337,case,24
SKU-1067,WH-North,100,each,53
SKU-1067,WH-South,391,each,57
SKU-1068,WH-North,394,each,45
SKU-1068,WH-Central,272,case,56
SKU-1069,WH-North,229,each,53
SKU-1069,WH-Central,157,each,34
SKU-1070,WH-North,344,each,34
SKU-1070,WH-Central,52,each,58
SKU-1072,WH-North,50,each,36
SKU-1072,WH-South,8,each,34
SKU-1073,WH-South,298,each,20
SKU-1073,WH-Central,83,each,22
SKU-1074,WH-North,302,each,58
SKU-1074,WH-South,102,case,42
SKU-1075,WH-North,337,each,34
SKU-1075,WH-South,250,each,21
SKU-1076,WH-North,89,each,31
SKU-1077,WH-South,343,each,50
SKU-1077,WH-Central,153,case,34
SKU-1078,WH-North,143,each,36
SKU-1078,WH-Central,129,case,37
SKU-1079,WH-North,6,each,42
SKU-1079,WH-South,235,each,55
