channel,week,impressions,clicks,conversions,spend
Search,2026-W14,4405,125,11,176.06
Search,2026-W15,4363,145,6,242.49
Search,2026-W16,5846,347,17,617.62
Search,2026-W17,4643,252,9,239.13
Search,2026-W18,5946,324,13,565.46
Search,2026-W19,4934,162,6,160.45
Search,2026-W20,5098,193,9,212.59
Search,2026-W21,5877,267,16,254.45
Social,2026-W14,4589,247,6,265.08
Social,2026-W15,3963,122,3,153.27
Social,2026-W16,3974,182,2,232.32
Social,2026-W17,4707,127,2,137.28
Social,2026-W18,3501,136,1,160.77
Social,2026-W19,5240,297,6,366.5
Social,2026-W20,4311,231,9,225.63
Social,2026-W21,3717,136,6,276.75
Email,2026-W14,842,36,2,63.38
Email,2026-W15,1166,44,1,70.88
Email,2026-W16,963,50,4,101.24
Email,2026-W17,909,23,1,19.52
Email,2026-W18,912,42,2,40.15
Email,2026-W19,852,19,3,40.31
Email,2026-W20,818,41,5,90.02
Email,2026-W21,939,29,2,57.98
Referral,2026-W14,81,3,0,5.45
Referral,2026-W15,85,3,1,4.08
Referral,2026-W16,74,3,1,6.51
Referral,2026-W17,73,2,0,1.97
Referral,2026-W18,68,1,0,1.03
Referral,2026-W19,70,3,0,4.97
Referral,2026-W20,87,3,0,3.85
Referral,2026-W21,77,3,0,4.28
