order_id,order_date,category,channel,quantity,revenue,cogs
NR-8236,2026-05-06,Home Goods,Retail Store,3,173.8,87.84
NR-8577,2026-06-19,Beauty,Retail Store,3,86.33,33.69
NR-7469,2026-01-11,Beauty,Web,1,31.5,12.57
NR-5278,2025-02-08,Apparel,Retail Store,1,44.11,20.83
NR-8434,2026-06-01,Electronics,Web,1,191.11,142.7
NR-6732,2025-10-19,Home Goods,Retail Store,1,76.96,40.2
NR-5978,2025-06-03,Home Goods,Web,3,184.68,101.46
NR-8029,2026-04-10,Home Goods,Retail Store,2,123.01,65.18
NR-6438,2025-08-27,Beauty,Web,2,64.33,25.47
NR-5684,2025-04-05,Beauty,Web,2,70.66,28.08
NR-7102,2025-11-12,Outdoor,Marketplace,2,177.77,92.75
NR-5569,2025-04-06,Electronics,Web,2,487.91,269.53
NR-5126,2025-01-23,Beauty,Web,2,70.82,27.81
NR-5975,2025-06-03,Home Goods,Web,3,189.76,101.24
NR-7577,2026-02-14,Electronics,Web,1,205.36,140.22
NR-5295,2025-02-03,Beauty,Web,3,88.55,35.25
NR-6236,2025-07-04,Beauty,Retail Store,1,35.46,14.47
NR-5559,2025-04-27,Electronics,Retail Store,3,723.47,380.68
NR-6523,2025-09-18,Electronics,Retail Store,1,191.33,107.33
NR-8017,2026-04-14,Home Goods,Web,2,124.74,64.14
NR-6658,2025-09-08,Outdoor,Retail Store,1,103.76,51.54
NR-5690,2025-04-25,Beauty,Web,1,36.39,15.41
NR-6546,2025-09-05,Home Goods,Web,2,142.76,75.0
NR-7401,2026-01-13,Home Goods,Web,3,187.95,94.21
NR-5815,2025-05-09,Home Goods,Web,3,230.23,115.99
NR-6564,2025-09-09,Home Goods,Retail Store,1,67.01,35.49
NR-6105,2025-07-02,Electronics,Web,3,756.55,406.96
NR-6951,2025-11-12,Home Goods,Retail Store,3,197.66,104.66
NR-8271,2026-05-25,Apparel,Retail Store,3,131.12,59.82
NR-6624,2025-09-23,Beauty,Web,3,113.37,43.07
NR-6062,2025-06-10,Beauty,Marketplace,3,105.34,41.04
NR-6610,2025-09-14,Beauty,Retail Store,1,35.16,14.0
NR-6431,2025-08-18,Beauty,Retail Store,3,108.29,43.63
NR-5163,2025-01-13,Outdoor,Web,3,248.54,121.68
NR-6545,2025-09-11,Home Goods,Web,1,61.51,31.1
NR-6686,2025-09-27,Outdoor,Retail Store,3,302.45,149.13
NR-5425,2025-03-09,Home Goods,Web,3,201.68,101.55
NR-7410,2026-01-21,Apparel,Retail Store,1,52.07,26.07
NR-6203,2025-07-06,Apparel,Web,3,123.48,59.4
NR-7232,2025-12-16,Apparel,Web,2,114.27,53.17
NR-7747,2026-03-07,Electronics,Web,1,209.2,142.3
NR-8070,2026-04-25,Apparel,Web,1,44.33,21.36
NR-5845,2025-05-21,Apparel,Marketplace,1,56.48,26.27
NR-5412,2025-03-26,Home Goods,Web,1,75.75,37.93
NR-7471,2026-01-20,BEAUTY,Web,1,34.71,14.45
NR-5142,2025-01-21,Beauty,Retail Store,2,67.85,26.02
NR-5856,2025-05-07,Beauty,Retail Store,1,33.84,13.94
NR-7421,2026-01-06,Apparel,Web,3,152.92,77.76
NR-7308,2025-12-07,Outdoor,Marketplace,3,281.89,136.3
NR-5613,2025-04-17,Home Goods,Marketplace,1,71.32,35.8
NR-7465,2026-01-11,Beauty,Web,3,107.93,45.81
NR-7049,2025-11-09,Beauty,Web,2,75.65,30.83
NR-6815,2025-10-26,Beauty,Retail Store,1,33.48,12.75
NR-5394,2025-03-21,Electronics,Web,3,763.15,412.39
NR-5356,2025-02-04,Outdoor,,2,223.99,117.82
NR-8249,2026-05-05,Home Goods,,1,74.16,38.32
NR-5594,2025-04-12,Electronics,Marketplace,1,256.22,138.2
NR-5047,2025-01-05,Home Goods,Web,1,68.68,35.61
NR-5421,2025-03-14,Home Goods,Web,1,68.58,35.38
NR-7338,2026-01-17,Electronics,Web,3,744.18,515.01
NR-8309,2026-05-19,Beauty,Web,1,38.11,15.43
NR-5928,2025-06-12,Electronics,Web,3,700.58,395.95
NR-7383,2026-01-22,Home Goods,Web,2,131.74,69.0
NR-6738,2025-10-15,Home Goods,Web,1,57.35,28.19
NR-6412,2025-08-15,Apparel,Retail Store,1,56.07,27.17
NR-8570,2026-06-07,Beauty,Web,1,38.19,15.83
NR-6952,2025-11-08,Home Goods,Web,2,124.63,64.27
NR-5097,2025-01-21,Apparel,Web,1,43.62,20.74
NR-5095,2025-01-23,Apparel,Marketplace,3,160.75,81.13
NR-8204,2026-05-21,Electronics,Web,2,460.36,364.74
NR-5059,2025-01-13,Home Goods,Web,3,183.0,94.7
NR-7723,2026-02-19,Outdoor,Web,1,103.27,52.07
NR-7736,2026-02-05,Outdoor,Web,2,189.87,93.33
NR-6047,2025-06-25,Beauty,Web,3,97.54,36.38
NR-7597,2026-02-27,Home Goods,Retail Store,2,146.9,73.94
NR-5466,2025-03-16,Apparel,Retail Store,3,143.7,71.93
NR-5428,2025-03-02,Home Goods,Web,2,153.81,77.17
NR-5563,2025-04-22,Electronics,Retail Store,2,426.47,226.1
NR-6591,2025-09-01,Apparel,Web,2,96.73,44.45
NR-7811,2026-03-22,Home Goods,Web,1,68.81,35.71
NR-5000,2025-01-09,Electronics,Retail Store,1,204.34,116.59
NR-5148,2025-01-04,Outdoor,Web,2,166.65,81.33
NR-5242,2025-02-22,Home Goods,Marketplace,1,56.49,28.87
NR-5020,2025-01-24,Electronics,Retail Store,2,401.81,224.13
NR-7263,2025-12-01,Beauty,Retail Store,3,105.46,41.41
NR-6803,2025-10-21,Apparel,Web,1,55.65,25.4
NR-6029,2025-06-06,Beauty,Web,3,88.37,33.13
NR-7163,2025-12-21,Home Goods,Marketplace,3,170.67,88.21
NR-8041,2026-04-11,Apparel,Retail Store,3,143.52,66.56
NR-7623,2026-02-06,Home Goods,Retail Store,1,72.95,39.02
NR-7782,2026-03-09,Electronics,Retail Store,3,586.42,423.07
NR-6771,2025-10-03,apparel,Marketplace,2,81.68,36.92
NR-7825,2026-03-27,Home Goods,Marketplace,1,57.76,29.94
NR-7607,2026-02-27,Home Goods,Marketplace,2,134.16,68.42
NR-5169,2025-01-13,Outdoor,Retail Store,3,289.09,152.52
NR-6895,2025-10-27,Outdoor,Retail Store,2,226.68,116.45
NR-7445,2026-01-05,Apparel,Web,1,43.22,20.41
NR-8248,2026-05-05,Home Goods,Web,1,58.81,30.21
NR-7531,2026-01-21,Outdoor,Retail Store,2,203.37,105.82
NR-5564,2025-04-22,Electronics,Web,2,389.36,216.42
NR-6288,2025-07-02,Outdoor,Web,2,200.2,106.19
NR-5796,2025-05-01,Home Goods,Retail Store,3,204.09,99.55
NR-7552,2026-02-07,Electronics,Marketplace,1,243.61,156.33
NR-7238,2025-12-25,Beauty,Marketplace,3,86.31,34.58
NR-8053,2026-04-01,Apparel,Web,2,99.89,47.69
NR-8595,2026-06-07,Outdoor,Retail Store,2,164.82,84.71
NR-8557,2026-06-16,Beauty,Web,1,32.0,13.15
NR-6400,2025-08-24,Apparel,Retail Store,2,98.03,47.48
NR-8525,2026-06-05,Apparel,Marketplace,3,165.42,80.17
NR-7677,2026-02-21,Beauty,Web,3,84.61,34.55
NR-7168,2025-12-18,Home Goods,Marketplace,2,127.35,67.48
NR-8587,2026-06-04,Outdoor,Retail Store,1,103.13,49.06
NR-6508,2025-09-22,Electronics,Web,3,774.74,414.89
NR-5385,2025-03-22,Electronics,Retail Store,3,759.23,424.6
NR-7744,2026-02-08,Outdoor,Retail Store,3,334.08,165.42
NR-5284,2025-02-10,Apparel,Retail Store,2,113.56,54.08
NR-5472,2025-03-20,Apparel,Marketplace,1,54.7,27.45
NR-6922,2025-11-05,Electronics,Web,3,722.61,429.84
NR-5805,2025-05-24,Home Goods,Web,2,154.53,77.35
NR-5575,2025-04-23,Electronics,Marketplace,3,775.17,429.64
NR-8429,2026-06-12,Electronics,Web,1,193.05,148.67
NR-8461,2026-06-20,Home Goods,Web,1,67.21,35.67
NR-5228,2025-02-24,Home Goods,Retail Store,2,133.37,70.58
NR-5146,2025-01-10,Beauty,Marketplace,3,102.02,40.33
NR-6531,2025-09-06,Electronics,Retail Store,3,579.52,324.61
NR-8339,2026-05-11,Beauty,Web,2,76.04,29.02
NR-7496,2026-01-16,Beauty,Web,3,107.87,42.07
NR-7370,2026-01-03,Home Goods,Retail Store,2,114.79,61.28
NR-7500,2026-01-18,Outdoor,Web,2,163.83,81.93
NR-6875,2025-10-13,Outdoor,Web,2,186.01,90.96
NR-7062,2025-11-06,Beauty,Web,1,32.6,13.83
NR-6537,2025-09-02,Home Goods,Retail Store,2,137.25,69.95
NR-6476,2025-08-17,Outdoor,Retail Store,2,180.19,94.17
NR-8270,2026-05-05,Apparel,Web,3,141.13,64.33
NR-5467,2025-03-19,Apparel,Web,1,49.52,22.85
NR-6509,2025-09-20,Electronics,Web,2,449.16,238.19
NR-7443,2026-01-07,Apparel,Retail Store,1,48.27,23.64
NR-8171,2026-04-15,Outdoor,Web,2,178.68,87.61
NR-5843,2025-05-18,Apparel,Web,1,42.34,20.0
NR-7675,2026-02-20,Beauty,Web,3,93.23,37.44
NR-6365,2025-08-21,Home Goods,Retail Store,3,207.61,111.89
NR-6972,2025-11-13,Home Goods,Web,2,154.88,76.45
NR-7612,2026-02-20,Home Goods,Marketplace,2,115.67,57.83
NR-8146,2026-04-07,Outdoor,Web,2,222.75,112.15
NR-6312,2025-08-21,Electronics,Retail Store,1,240.42,139.04
NR-5314,2025-02-12,Beauty,Retail Store,2,64.85,24.94
NR-7586,2026-02-05,Home Goods,Web,1,64.26,34.31
NR-5795,2025-05-20,Home Goods,Retail Store,1,75.41,37.09
NR-5976,2025-06-20,Home Goods,Marketplace,3,184.63,101.48
NR-7256,2025-12-09,Beauty,Marketplace,2,63.36,25.64
NR-5012,2025-01-02,Electronics,Web,1,233.06,126.75
NR-6262,2025-07-24,Outdoor,Web,3,244.82,122.78
NR-6396,2025-08-15,Apparel,Retail Store,1,47.14,23.56
NR-7181,2025-12-26,Home Goods,Web,1,56.21,30.37
NR-7571,2026-02-14,Electronics,Web,2,375.88,240.87
NR-8340,2026-05-13,Beauty,Marketplace,2,56.77,22.99
NR-5111,2025-01-18,Beauty,Retail Store,2,69.59,27.22
NR-6363,2025-08-13,Home Goods,Retail Store,3,207.0,104.71
NR-7239,2025-12-15,Beauty,Marketplace,1,38.22,14.66
NR-8513,2026-06-20,Apparel,Marketplace,3,128.29,60.15
NR-8206,2026-05-18,Electronics,Retail Store,3,601.35,470.29
NR-6829,2025-10-21,Beauty,Web,3,109.3,44.0
NR-7243,2025-12-25,Beauty,Retail Store,2,63.97,24.09
NR-5325,2025-02-21,BEAUTY,Retail Store,1,32.4,12.46
NR-6446,2025-08-11,Beauty,Web,1,35.85,13.96
NR-8451,2026-06-05,Home Goods,Web,2,115.09,59.56
NR-6267,2025-07-22,Outdoor,Web,2,213.74,109.63
NR-6496,2025-09-16,Electronics,Retail Store,2,486.58,275.74
NR-5517,2025-03-21,Outdoor,Retail Store,2,164.56,85.3
NR-7702,2026-02-24,Beauty,Retail Store,2,60.98,24.66
NR-8475,2026-06-10,Home Goods,Web,2,138.08,72.35
NR-6324,2025-08-23,Electronics,Web,2,487.12,287.32
NR-7908,2026-03-01,Beauty,Retail Store,2,56.52,21.79
NR-7054,2025-11-20,Beauty,Retail Store,3,92.12,37.51
NR-5894,2025-05-18,Outdoor,Retail Store,2,187.04,98.12
NR-6474,2025-08-05,Outdoor,Web,3,320.71,159.77
NR-5919,2025-06-01,Electronics,Web,2,516.15,272.97
NR-7280,2025-12-01,Outdoor,Retail Store,2,186.56,89.4
NR-5802,2025-05-02,Home Goods,Retail Store,2,132.2,63.68
NR-8022,2026-04-26,Home Goods,Retail Store,1,73.45,39.8
NR-5833,2025-05-23,Apparel,Retail Store,1,54.12,26.71
NR-6601,2025-09-27,Apparel,Retail Store,1,42.57,19.96
NR-6661,2025-09-20,Outdoor,Web,3,279.95,132.41
NR-7961,2026-04-12,Electronics,Web,1,198.91,152.52
NR-6742,2025-10-21,Home Goods,Web,3,187.64,98.17
NR-5468,2025-03-07,Apparel,Marketplace,3,147.54,72.88
NR-6827,2025-10-09,Beauty,Marketplace,1,30.8,12.31
NR-7136,2025-12-24,Electronics,Web,1,224.97,134.98
NR-7954,2026-03-03,Outdoor,Web,1,103.89,54.3
NR-8099,2026-04-06,Beauty,Marketplace,3,84.2,32.7
NR-5426,2025-03-19,Home Goods,Web,3,200.01,108.28
NR-7755,2026-03-04,Electronics,Web,3,672.45,455.04
NR-6056,2025-06-22,Beauty,Marketplace,1,29.98,11.47
NR-7929,2026-03-26,Outdoor,Retail Store,3,282.01,143.13
NR-5656,2025-04-02,Apparel,Web,3,126.73,65.82
NR-7737,2026-02-13,Outdoor,Web,2,192.04,99.88
NR-6296,2025-08-26,Electronics,Retail Store,2,411.95,232.01
NR-5254,2025-02-04,Apparel,Retail Store,3,127.16,64.11
NR-7314,2025-12-26,Outdoor,Web,2,197.47,95.92
NR-7204,2025-12-10,Apparel,Web,2,90.67,41.01
NR-7941,2026-03-07,OUTDOOR,Web,2,222.68,108.89
NR-5992,2025-06-17,Apparel,Retail Store,3,164.46,81.03
NR-6279,2025-07-26,Outdoor,Web,3,275.77,144.16
NR-6318,2025-08-15,Electronics,Web,3,746.28,434.75
NR-5131,2025-01-20,Beauty,Web,2,71.69,27.44
