period,revenue,cogs,opex,net_income
Jan-Mar-2024,180468.72,75214.04,60494.86,44759.82
Apr-Jun-2024,192661.41,76520.6,59672.28,56468.53
Jul-Sep-2024,153886.19,60434.58,49982.19,43469.42
Oct-Dec-2024,194618.05,79505.87,63335.22,51776.96
Q1 2025,206078.81,86217.59,73304.18,46557.04
2025-Q2,215852.52,88531.07,74728.8,52592.65
Q3 2025,172177.86,65479.88,52402.86,54295.12
2025-Q4,225418.89,88263.44,76940.83,60214.62
2026-Q1,220620.34,89031.29,74300.55,57288.5
2026-Q2,237996.38,102092.13,76117.57,59786.68
Jul-Sep-2026,184554.77,70208.18,62121.2,52225.39
2026-Q4,239740.84,92890.68,75638.59,71211.57
