order_id,order_date,region,product_line,units,unit_price,revenue
RS-1000,2026-01-05,North,Apparel,71.0,129.99,9229.29
RS-1001,2026-01-07,West,Electronics,271.0,199.99,54197.29
RS-1002,2026-01-09,North,Electronics,136.0,19.99,2718.64
RS-1003,2026-01-11,North,Electronics,446.0,129.99,57975.54
RS-1004,2026-01-13,South,Apparel,317.0,19.99,6336.83
RS-1005,2026-01-15,West,Electronics,310.0,49.99,15496.9
RS-1006,2026-01-17,East,Electronics,473.0,89.99,42565.27
RS-1007,2026-01-19,East,Outdoor,336.0,49.99,16796.64
RS-1008,2026-01-21,South,Outdoor,73.0,89.99,6569.27
RS-1009,2026-01-23,East,Apparel,517.0,129.99,67204.83
RS-1010,2026-01-25,North,Apparel,115.0,129.99,14948.85
RS-1011,2026-01-27,East,Electronics,59.0,199.99,11799.41
RS-1012,2026-01-29,South,Outdoor,413.0,129.99,53685.87
RS-1013,2026-01-31,East,Outdoor,231.0,49.99,11547.69
RS-1014,2026-02-02,North,Electronics,337.0,19.99,6736.63
RS-1015,2026-02-04,East,Electronics,555.0,129.99,72144.45
RS-1016,2026-02-06,South,Apparel,258.0,29.99,7737.42
RS-1017,2026-02-08,South,Outdoor,64.0,49.99,3199.36
RS-1018,2026-02-10,North,Apparel,288.0,19.99,5757.12
RS-1019,2026-02-12,North,Electronics,211.0,29.99,6327.89
RS-1020,2026-02-14,West,Electronics,565.0,49.99,28244.35
RS-1021,2026-02-16,West,Outdoor,,129.99,50046.15
RS-1022,2026-02-18,East,Electronics,465.0,129.99,60445.35
RS-1023,2026-02-20,South,Outdoor,508.0,49.99,25394.92
RS-1024,2026-02-22,North,Outdoor,158.0,129.99,20538.42
RS-1025,2026-02-24,South,Outdoor,502.0,29.99,15054.98
RS-1026,2026-02-26,South,Apparel,482.0,129.99,62655.18
RS-1027,2026-02-28,East,Electronics,293.0,129.99,38087.07
RS-1028,2026-03-02,North,Apparel,342.0,49.99,17096.58
RS-1029,2026-03-04,West,Outdoor,41.0,19.99,819.59
RS-1030,2026-03-06,North,Apparel,274.0,129.99,35617.26
RS-1031,2026-03-08,West,Electronics,515.0,89.99,46344.85
RS-1032,2026-03-10,North,Apparel,353.0,89.99,31766.47
RS-1033,2026-03-12,South,Outdoor,72.0,89.99,6479.28
RS-1034,2026-03-14,East,Apparel,369.0,19.99,7376.31
RS-1035,2026-03-16,East,Apparel,589.0,29.99,17664.11
RS-1036,2026-03-18,West,Outdoor,595.0,199.99,118994.05
RS-1037,2026-03-20,South,Outdoor,496.0,19.99,9915.04
RS-1038,2026-03-22,East,Apparel,552.0,29.99,16554.48
RS-1039,2026-03-24,North,Electronics,93.0,89.99,8369.07
RS-1040,2026-03-26,East,Apparel,597.0,89.99,53724.03
RS-1041,2026-03-28,East,Outdoor,262.0,129.99,34057.38
RS-1042,2026-03-30,West,Outdoor,213.0,19.99,4257.87
RS-1043,2026-04-01,North,Apparel,467.0,129.99,60705.33
RS-1044,2026-04-03,South,Apparel,435.0,19.99,8695.65
RS-1045,2026-04-05,East,Electronics,564.0,19.99,11274.36
RS-1046,2026-04-07,West,Apparel,307.0,49.99,15346.93
RS-1047,2026-04-09,North,Apparel,158.0,29.99,4738.42
RS-1048,2026-04-11,South,Outdoor,372.0,49.99,18596.28
RS-1049,2026-04-13,East,Electronics,218.0,19.99,4357.82
RS-1050,2026-04-15,East,Electronics,232.0,199.99,46397.68
RS-1051,2026-04-17,South,Electronics,285.0,29.99,8547.15
RS-1052,2026-04-19,East,Electronics,172.0,129.99,22358.28
RS-1053,2026-04-21,North,Outdoor,477.0,49.99,23845.23
RS-1054,2026-04-23,East,Electronics,65.0,19.99,1299.35
RS-1055,2026-04-25,North,Outdoor,93.0,49.99,4649.07
RS-1056,2026-04-27,South,Apparel,438.0,29.99,13135.62
RS-1057,2026-04-29,East,Electronics,337.0,29.99,10106.63
RS-1058,2026-05-01,East,Electronics,31.0,129.99,4029.69
RS-1059,2026-05-03,East,Apparel,404.0,49.99,20195.96
RS-1005,2026-01-15,West,Electronics,310.0,49.99,15496.9
RS-1022,2026-02-18,East,Electronics,465.0,129.99,60445.35
