customer_id,plan,mrr,signup_date,cancel_date,seats,industry
C-2001,Starter,49,2024-01-14,,3,Retail
C-2002,Growth,199,2024-01-20,2025-02-01,12,SaaS
C-2003,starter,49,2024-02-02,,2,Healthcare
C-2004,Enterprise,899,2024-02-10,,40,Finance
C-2005,Growth,199,2024-02-15,N/A,15,Retail
C-2006,Starter,49,2024-03-01,2024-09-12,4,Education
C-2007,Growth,199,2024-03-05,,10,SaaS
C-2008,Enterprise,899,2024-03-11,-,35,Manufacturing
C-2009,Growth,199,2024-03-19,2025-01-08,9,Retail
C-2010,Starter,49,2024-04-02,,5,Healthcare
C-2002,Growth,199,2024-01-20,2025-02-01,12,SaaS
C-2011,Enterprise,899,2024-04-15,,50,Finance
C-2012,Growth,,2024-04-22,,11,SaaS
C-2013,Starter,49,2024-05-03,2024-11-30,3,Education
C-2014,Growth,199,2024-05-10,,14,Retail
C-2015,Enterprise,899,2024-05-18,,29,Manufacturing
C-2016,Starter,49,2024-06-01,,6,Healthcare
C-2017,growth,199,2024-06-09,2025-03-14,8,SaaS
C-2018,Enterprise,899,2024-06-20,,44,Finance
C-2019,Starter,49,2024-07-02,,2,Retail
C-2020,Growth,199,2024-07-15,,13,Education
