response_id,satisfaction_score,nps,department,tenure_months
R-1,4,2,Engineering,71
R-2,1,8,Sales,68
R-3,4,3,Sales,16
R-4,2,10,Engineering,85
R-5,4,1,Operations,33
R-6,2,8,Operations,44
R-7,1,4,Support,50
R-8,5,2,Sales,88
R-9,2,10,Support,78
R-10,3,0,Support,39
R-11,3,10,Sales,46
R-12,3,7,Operations,52
R-13,2,7,Operations,5
R-14,1,0,Support,91
R-15,3,3,Operations,72
R-16,2,10,Support,88
R-17,5,3,Support,16
R-18,,5,Engineering,44
R-19,2,3,Engineering,48
R-20,1,9,Operations,65
R-21,3,0,Support,42
R-22,5,4,Support,8
R-23,3,5,Engineering,17
R-24,,4,Sales,63
R-25,2,5,Support,95
R-26,4,7,Engineering,45
R-27,3,1,Engineering,80
R-28,4,6,Sales,18
R-29,4,3,Engineering,17
R-30,6,0,Engineering,12
R-31,3,2,Support,41
R-32,1,4,Sales,29
R-33,4,0,Engineering,74
R-34,2,5,Support,12
R-35,4,8,Operations,60
R-36,1,9,Operations,85
R-37,5,2,Support,11
R-38,5,5,Operations,61
R-39,2,8,Sales,56
R-40,3,6,Sales,65
R-41,5,7,Engineering,57
R-42,1,9,Support,81
R-43,4,5,Support,95
R-44,3,0,Sales,26
R-45,5,7,Support,49
R-46,4,1,Operations,28
R-47,5,2,Operations,55
R-48,3,0,Support,21
R-49,5,4,Operations,90
R-50,1,10,Support,64
R-51,4,7,Support,16
R-52,1,3,Operations,33
R-53,2,7,Engineering,28
R-54,2,8,Support,24
R-55,5,4,Engineering,69
R-56,2,10,Operations,6
R-57,3,8,Operations,77
R-58,4,6,Sales,66
R-59,5,4,Engineering,94
R-60,3,2,Sales,24
R-61,4,2,Sales,16
R-62,2,6,Sales,1
R-63,4,1,Support,60
R-64,4,0,Support,83
R-65,3,1,Engineering,20
R-66,4,2,Support,22
R-67,1,2,Engineering,32
R-68,0,9,Support,33
R-69,2,2,Engineering,31
R-70,3,6,Operations,54
R-71,4,1,Operations,61
R-72,3,7,Engineering,66
R-73,3,5,Engineering,59
R-74,4,3,Engineering,7
R-75,3,4,Support,92
R-76,5,6,Support,45
R-77,4,3,Operations,41
R-78,6,8,Operations,81
R-79,2,8,Sales,59
R-80,3,2,Sales,85
R-81,1,1,Engineering,31
R-82,3,7,Engineering,22
R-83,5,8,Sales,22
R-84,3,7,Operations,78
R-85,5,7,Sales,58
R-86,5,3,Operations,29
R-87,5,2,Operations,60
R-88,2,10,Operations,28
R-89,3,5,Sales,94
R-90,1,4,Operations,34
R-91,3,0,Support,40
R-92,3,9,Support,75
R-93,5,4,Support,40
R-94,1,9,Operations,95
R-95,4,9,Support,79
R-96,4,2,Support,3
R-97,5,7,Engineering,16
R-98,2,3,Engineering,17
R-99,1,8,Engineering,12
R-100,5,6,Support,6
R-101,1,6,Sales,42
R-102,4,5,Engineering,42
R-103,1,3,Support,29
R-104,2,2,Sales,84
R-105,5,0,Operations,22
R-106,3,3,Engineering,31
R-107,1,8,Support,86
R-108,1,7,Sales,63
R-109,0,3,Support,40
R-110,3,10,Operations,93
R-111,1,7,Operations,59
R-112,2,1,Operations,24
R-113,4,9,Operations,68
R-114,,2,Sales,24
R-115,3,7,Operations,43
R-116,1,0,Support,33
R-117,1,9,Operations,43
R-118,4,1,Sales,71
R-119,5,4,Operations,64
R-120,4,2,Engineering,95
R-121,,1,Engineering,36
R-122,1,0,Engineering,15
R-123,3,10,Support,14
R-124,3,4,Support,24
R-125,2,1,Engineering,48
R-126,1,5,Engineering,41
R-127,0,10,Engineering,19
R-128,1,8,Operations,87
R-129,3,7,Support,60
R-130,4,1,Support,54
R-131,5,0,Operations,25
R-132,3,1,Support,20
R-133,4,4,Engineering,6
R-134,3,9,Support,84
R-135,3,4,Sales,19
R-136,5,8,Support,85
R-137,5,5,Engineering,83
R-138,4,4,Support,84
R-139,5,8,Sales,72
R-140,3,10,Engineering,70
R-141,1,1,Engineering,36
R-142,4,8,Support,53
R-143,4,10,Engineering,43
R-144,5,3,Support,56
R-145,5,8,Operations,9
R-146,0,6,Operations,35
R-147,2,3,Engineering,91
R-148,2,7,Sales,28
R-149,2,10,Engineering,8
R-150,2,6,Support,76
R-151,1,1,Support,51
R-152,5,3,Support,14
R-153,4,1,Support,43
R-154,4,7,Sales,69
R-155,2,0,Operations,67
R-156,3,0,Engineering,36
R-157,4,2,Support,73
R-158,4,7,Support,60
R-159,5,4,Support,32
R-160,5,0,Engineering,3
R-161,5,10,Support,41
R-162,4,3,Support,3
R-163,5,6,Operations,57
R-164,4,7,Operations,70
R-165,5,7,Engineering,77
R-166,1,8,Sales,6
R-167,1,10,Support,28
R-168,2,5,Operations,1
R-169,3,3,Sales,29
R-170,1,2,Operations,25
R-171,1,8,Sales,38
R-172,1,8,Sales,48
R-173,4,2,Support,57
R-174,3,10,Sales,13
R-175,2,5,Sales,95
R-176,1,7,Support,13
R-177,5,6,Sales,14
R-178,3,4,Support,31
R-179,1,2,Engineering,46
R-180,1,8,Sales,36
R-181,4,2,Support,46
R-182,,4,Sales,64
R-183,3,1,Operations,85
R-184,3,7,Sales,2
R-185,1,1,Engineering,61
R-186,4,8,Support,31
R-187,1,1,Operations,64
R-188,1,2,Sales,75
R-189,1,4,Operations,10
R-190,5,0,Engineering,9
R-191,2,10,Engineering,25
R-192,1,8,Engineering,60
R-193,4,3,Support,80
R-194,,3,Operations,30
R-195,2,5,Support,61
R-196,4,3,Support,51
R-197,3,6,Operations,16
R-198,3,3,Sales,70
R-199,5,2,Operations,46
R-200,3,2,Support,28
R-201,4,10,Sales,81
R-202,1,8,Support,84
R-203,5,3,Support,80
